contents,labels
表妹 生日快乐 ， 美美 最美,0
祝 郑兄 生日快乐,0
祝好 朋友 姚志杰 生日快乐,0
祝 兄弟 生日快乐 ， 愿 兄弟 早日 住 豪宅 ， 开 跑车 ， 迎娶 白富 美 ！,0
梅子 女士 生日快乐 年 年 十八,0
祝 哥们 感情 天长地久 ！ ！ TG,4
生日快乐,0
惨淡经营 历千辛 ， 一举成名 天下 闻 ， 虎啸 龙吟 展宏图 ， 盘马弯弓 创新 功,2
【 V09 包厢 】 ： 好好 听 ， 身材 健康 ， 工作 顺心,5
祝愿 王晶 小朋友 天天 18 岁 ， 年 年 都 开心,0
B05 挑战 包厢 ， 敢 。 男女 ， 接 ！,11
晓雯 爸爸,11
老铁 生日快乐 ， 祝 早日 帅过 吴彦祖 ， 富过 王思聪 ， 忘 兄弟 。,0
兄弟 ， 生日快乐 ， 社会 大哥 ， 人狠话 不 ， 十年 后 还要 嗨 ！,0
乖崽 ， 永远 爱 ， 一辈子 爱 ， 不 欺骗 ， 疼 ， 懂 ！,3
周周 全场 最骚 老处女,8
祝小 姐妹 生日快乐 ， 永远 年轻漂亮 ， 幸福 满满 。,0
珍珍 老师 大夜 顺利,11
男 27 岁 。 微信 17789822903 。 想 找个 女朋友 。 看上,7
祝 : 李老板 生意兴隆 ， 财源滚滚 ， 身体健康 ， 万事如意 ， 心想事成 。,2
早生贵子,9
两个 嫂子 沈阳 光临,6
喝 ！ 最 简单 表达方式 喝 ， 喝多 还 喝 ， 不醉 不 ！,11
请 ， 真的 爱 ， 请 接受 送给 开心 快乐 。,3
散伙 拜拜,1
【 605 包厢 】 ： 唱 太 好听 ， 棒棒 哒 ！ call call ！,11
请 ， 真的 爱 ， 请 接受 送给 开心 快乐 。,3
喝 ！ 最 简单 表达方式 喝 ， 喝多 还 喝 ， 不醉 不 ！,11
祝 笑笑 云奇 新婚 快乐,9
祝 小姐姐 生日快乐 ， 永远 年轻漂亮 ， 幸福 满满 。,0
姐夫 生日快乐,0
祝 亮点 生日快乐 开心 健康 永远 美丽,0
祝陆 总 生日快乐 ！ 身体健康 ！ 爆富 爆美,0
住 吕凤华 生日快乐,0
【 517 包厢 】 ： 祝王 乔琳 大姐大 永葆青春 寿比南山 福如东海 年 年 今日 岁 岁 今朝,10
祝 姐妹 生日快乐 ， 天天 十八 ， 月 月 好运 ， 年 年 发财 。,0
兄弟 ， 生日快乐 ， 社会 大哥 ， 人狠话 不 ， 十年 后 还要 嗨 ！ 祝 唐标 生日快乐 ！ ！ ！ ！ ！,0
马 sir 生日快乐,0
！ 陈渣 生日快乐,0
【 A222 包厢 】 ： 老铁 生日快乐 ， 祝 早日 帅过 吴彦祖 ， 富过 王思聪 ， 忘 兄弟 。,0
祝 我浩弟 生日快乐,0
喝 ！ 最 简单 表达方式 喝 ， 喝多 还 喝 ， 不醉 不 ！,11
祝 谢艳芳 生日快乐 ！ 身体健康 ！ 祝 今晚 兄弟姐妹 平平安安 ！ 热烈欢迎 大 刘 总 光临 平湖 ！,0
黄先生 ， 生日快乐 ！ 爱 哒 ！,0
喝 ！ 青岛 不倒 不 倒 ， 雪花 不飘 不 飘 ， 问 酒量 ， 请 看 大海 方向 。,11
祝 妹子 生日快乐 ， 永远 十八 一枝花 ， 开心 。,0
【 312 包厢 】 ： 涛峰哥 ， 哒 … … 做 60 俯卧撑 ， 好 强壮 ， 伦家 好 喜欢 … … 涛峰 欧巴,11
祝香香 女神 生日快乐,0
师生 相聚,1
黄先生 ， 余生 才 算 完整 ！ ！ 娟,3
祝 兄弟 生日快乐 ， 愿 兄弟 早日 住 豪宅 ， 开 跑车 ， 小妮,0
祝 ： 海 南昌 昊 公司 ， 同仁 齐心协力 共创 辉煌 ！,2
祝温平 升学 快乐,10
悦哥 威武 霸气 侧漏 ， 大姨妈 长流 不息,11
祝 ： 亲爱 老婆 生日快乐,0
祝 亲爱 林广全 梁耀光 黎权 英 三位 同学 生日快乐 ！ 心想事成 ！,0
王金梦 最棒,11
生日快乐 哥们,0
希望 都 开心 ， 记得 在乎 ， 希望 越来越 好 ， 爱 哒 ！,3
剑鑫 生日快乐 ， 祝 早日 帅过 吴彦祖 ， 富过 王思聪 ， 忘 兄弟 。,0
祝 兄弟 新婚 快乐 ！ 早生贵子 ！,9
祝 兄弟 新婚 快乐 ！ 早生贵子 ！,9
祝 兄弟 新婚 快乐 ！ 早生贵子 ！,9
祝 兄弟 新婚 快乐 ！ 早生贵子 ！,9
兄弟 ， 生日快乐 ， 社会 大哥 ， 人狠话 不 ， 十年 后 还要 嗨 ！,0
！,11
弟妹 生日快乐,0
祝 ： 男神们 越来越 帅 ， 品质 团队 越做越 好,5
祝福 ， 肖湘亮 ， 老弟 生日快乐 ， 全家 身体健康 ，,0
祝 亲爱 生日快乐 ， 永远 十八 一枝花 ， 开心 。,0
王 秋雨 生日快乐,0
金牌 小王子,11
朱朱 老师 生日快乐,0
3RsN1Lxatsn,11
祝 月亮 生日快乐 ， 年 年 今日 岁 岁 今朝,0
祝 亮点 生日快乐 开心 健康 永远 美丽,0
感谢您 真诚 祝福 ， 谢谢您 ！,10
祝 老板娘 生日快乐 ， 生 兴隆 ， 越活 越 漂亮,0
马 sir 生日快乐,0
兄弟 ， 生日快乐 ， 社会 大哥 ， 人狠话 不 ， 十年 后 还要 嗨 ！,0
喝 ！ 嗨 喽 ， 大 咖好 ， 我系 渣 渣 灰 ， 系 兄弟 喝 死 ， 里 。,11
3RsN1Lxatsn,11
好像 不 太行,11
祝小 姐妹 生日快乐 ， 永远 年轻漂亮 ， 幸福 满满 。,0
亲爱 李国英 美女 ， 迟来 祝祝 生日快乐,0
猜 哈哈哈,11
祝 林妹妹 永远 18,0
峰哥 来到 芦台 ， 五湖四海 朋友 ， 真诚 祝福 越来越 好 。 王 小妹 敬 上 ！,4
人潮 人 海 ， 感恩 一路 。 好 朋友 ， 一辈子 ！ 今晚 嗨 皮到 天亮 ， 没 毛病 ！,4
生命 里 ， 无疑 会 很多 夏天 ， 一个 ， 会 如今 夏 。,11
孟哥 玩 好 、 玩 、 嗨 好 、 兄弟 曹梁 全体 兄弟,4
王敏 透 好 几瓶 说 开心 点 想 一辈子,3
祝马姐 生意兴隆 ， 万事如意 ， 所有人 太 开心 ， 所有人 太 快乐 大本营 ，,2
百年 成诺 携手 奥雷 公司 祝 广州 之行 嗨 到底,2
【 1007 包厢 】 ： 祝 事业 长虹 ， 业绩 翻番 ， 荷包 满满 ， 未来 都 上 想要 日子 ！,5
兄弟 嗨,4
热烈欢迎 浙江 邵总 ， 广西 曹总 ， 同窗 黄总 ， 曾 总 好友 莅临 英禄 科技 指导 视察工作,2
祝 事业 长虹 ， 业绩 翻番 ， 荷包 满满 ， 未来 都 上 想要 日子 ！,5
老铁 生日快乐 ， 祝 早日 帅过 吴彦祖 ， 富过 王思聪 ， 忘 兄弟 。,0
美女 生日快乐 越来越 漂亮,0
军中 绿花,11
请 ， 真的 爱 ， 请 接受 送给 开心 快乐 。,3
毕业 快乐 ， 时光 不老 不 散 ， 祝你们 未来 安好 ！,1
柚子 姐 ， 生日快乐 ， 年 年 18 貌美如花,0
遇见 福分 ， 爱上你 福气 ， 希望 看 明白 心意 ， 我爱你 。,3
喝 ！ 青岛 不倒 不 倒 ， 雪花 不飘 不 飘 ， 问 酒量 ， 请 看 大海 方向 。,11
祝 老板 ， 身体健康 ， 生意兴隆 ， 财源滚滚 。,2
感觉,11
喝 ！ 最 简单 表达方式 喝 ， 喝多 还 喝 ， 不醉 不 ！,11
祝 杨 叔叔 : 生日快乐 ， 生意兴隆 ， 赚 一个亿 ！ ！,0
【 621 包厢 】 ： 遇见 福分 ， 爱上你 福气 ， 希望 看 明白 心意 ， 我爱你 。,3
！ 原唱 还 好听 ， 再 一首 ， 再 一首 ！,11
天 ， 唱歌 好好 听 ， 小 粉丝 ！ 哒 爱 ！,11
生日快乐 小朋友,0
兄弟 ， 生日快乐 ， 社会 大哥 ， 人狠话 不 ， 十年 后 还要 嗨 ！,0
唱 太 好听 ， 棒棒 哒 ！ call call ！,11
【 V08 包厢 】 ： 遇见 福分 ， 爱上你 福气 ， 希望 看 明白 心意 ， 我爱你 。,3
祝 老公 生日快乐,0
祝福 宝贝 姑娘 两个 宝贝 新 一年 学习 蒸蒸日上 ， 住 哥们 嫂子 生意兴隆,6
605 ， 祝 婆娘 ， 小惠 生日快乐,0
祝超 生日快乐 温柔 坚韧 知足 上 进,0
老贾 。,11
祝好 姐妹 生日快乐 ， 天天 十八 ， 月 月 好运 ， 年 年 发财 。,0
杜少 生日快乐 ！ 喝 ！ 青岛 不倒 不 倒 ， 雪花 不飘 不 飘 ， 问 酒量 ， 请 看 大海 方向 。,0
英姐 生日快乐 鸭,0
祝好 姐妹 生日快乐 ， 天天 十八 ， 月 月 好运 ， 年 年 发财 。,0
小元祝 好 哥们 开心 快乐,11
请 ， 真的 爱 ， 请 接受 送给 开心 快乐 。,3
哥 ， 生日快乐 ， 时光 不老 不 散,0
小小 菇 凉 ， 年 年 18 岁,0
祝许 善娟生 快乐 ， 青春永驻 年 年 十八,0
祝好 姐妹 生日快乐 ， 天天 十八 ， 月 月 好运 ， 年 年 发财 。,0
祝 刘 总 生日快乐 … … 发财 脱单 开开心心,0
方 老二 爱 一辈子,3
宝宝 ， 21 生日快乐,0
可乐 帅哥哥 生日快乐,0
热烈 掌声 送给 这位 哥 ！,11
祝 邱 总书记 生日快乐 ， 请客 ！,0
祝 最 爱 宝宝 生日快乐 ， 很少 ， 足够 爱 ( ( c ) ！,0
王敏 透 好 几瓶 说 开心 点 想 一辈子,3
祝 最 爱 宝宝 生日快乐 ， 很少 ， 足够 爱 ( ( c ) ！,0
【 V08 包厢 】 祝 哥哥 姐姐 开开心心 ：,11
呦 妈呀 ， 老公 唱 太好了,6
祝 妹妹 生日快乐 永远 长不大,0
喽 大哥 大姐,8
唱 好 ！ 赏酒 两杯 ！,11
唱 太 好听 ， 棒棒 哒 ！ call call ！,11
老铁 生日快乐 ， 祝 早日 帅过 吴彦祖 ， 富过 王思聪 ， 忘 兄弟 。,0
【 V08 包厢 】 ： 时光 不老 ， 不 散 ！ 感谢 年华 遇见 ， 多年 后 如今 。 友谊 长存 ！,4
兄弟 嗨,4
刘老板 生日快乐 ， 祝 早日 帅过 吴彦祖 ， 富过 王思聪 ！,2
唱 好好 好,11
宝扬 米业 ， 鸿扬 米业 ， 生意兴隆 ！ 辉哥 ， 最 棒,2
闻闻 生日快乐 爱,0
希望 都 开心 ， 记得 在乎 ， 希望 越来越 好 ， 爱 哒 ！,3
【 K69VSHOW 包厢 】 ： 醉骚 联盟 最牛 逼 ！ ！ ！,11
鹏鹏 ， 单单 牛 逼,11
【 V08 包厢 】 ： 时光 不老 ， 不 散 ！ 感谢 年华 遇见 ， 多年 后 如今 。 友谊 长存 ！,4
强子 哥 最帅 最 牛批,11
徐金毅 ， 今晚 包场,11
贾凤仙 。 曾燕 。 唱 好,11
唱 真 好听,11
时光 不老 ， 不 散 ！ 感谢 年华 遇见 ， 多年 后 如今 。 友谊 长存 ！,4
盖,11
百年 成诺 携手 奥雷 公司 祝 广州 之行 嗨 到底,2
祝 老公 生日快乐 ， 我爱你,0
今晚 生日 ， 点燃 生日 烛光 ， 点燃 幸福 希望 ， 代表 公司 全体人员 祝 老李 生日快乐,0
兄弟 性生活 愉快 ！ 均哥 、 波哥 骚得 很 ！,4
刘老板 生日快乐 ， 祝 早日 帅过 吴彦祖 ， 富过 王思聪 ！,0
【 V09 包厢 】 ： 朋友 ， 喝 ！ 最 简单 表达方式 喝 ， 喝多 还 喝 ， 不醉 不 ！,11
恭喜 叶姐 儿子 读上 一中,10
胡总胡 总 我爱你 ， 老鼠 爱 大米 ~ ~,3
祝许 善娟 生日快乐 ， 青春永驻 年 年 十八,0
祝福 远道而来 第二 故乡 两位 大哥 来看 小弟 ！ 兄弟 倍感 亲切 ！ 祝 两位 大哥 身体健康 ！ 阖家欢乐 ！,8
严 如玉 大 笨蛋,11
NB ！ ！ ！ 牛 逼 ！ ！ ！ 灵魂 歌手 ！ 出 道 ！ ！ ！,11
亲儿子,11
祝 兄弟 生日快乐 ， 愿 兄弟 早日 住 豪宅 ， 开 跑车 ， 迎娶 白富 美 ！,0
曼丽 嫂子 生日快乐 ， 祝 永远 十八岁 。,0
祝 张姐 生日快乐 ， 年 年 今日 ， 岁 岁 今朝,0
老板 生日快乐,0
希望 都 开心 ， 记得 在乎 ， 希望 越来越 好 ， 爱 哒 ！,3
祝 太湖 杨 总 郭总万 总 刘 总 渡过 一个 愉快 夜晚 ！,2
鑫 哥哥 生日快乐,0
， 生日快乐 ！,0
祝唐 才 生日快乐,0
喝 ！ 青岛 不倒 不 倒 ， 雪花 不飘 不 飘 ， 问 酒量 ， 请 看 大海 方向 。,11
喝 ！ 最 简单 表达方式 喝 ， 喝多 还 喝 ， 不醉 不 ！,11
阿鹏 小鸡鸡,11
喝 ！ 青岛 不倒 不 倒 ， 雪花 不飘 不 飘 ， 问 酒量 ， 请 看 大海 方向 。,11
喝 ！ 最 简单 表达方式 喝 ， 喝多 还 喝 ， 不醉 不 ！,11
唱 太 好听 ， 棒棒 哒 ！ call call ！,11
傻 ， 狗熊,11
9 块 9 包邮 送到 家,11
愿 开开心心 没 烦恼,11
请 ， 真的 爱 ， 请 接受 送给 开心 快乐 。,3
希望 都 开心 ， 记得 在乎 ， 希望 越来越 好 ， 爱 哒 ！,3
祝文红 越来越 大,11
祝魏 总魏 大哥 项城 朋友 ， 健康 快乐 哈哈哈哈 常来益 木堂 聚一聚,2
祝魏 总魏 大哥 项城 朋友 ， 健康 快乐 哈哈哈哈 常来益 木堂 聚一聚,2
祝 邮政 张 总 幸福,2
大海 弟弟 幸福,9
天 ， 唱歌 好好 听 ， 小 粉丝 ！ 哒 爱 ！,11
祝 赵 总 心情愉快 ！ ！,5
天 ， 唱歌 好好 听 ， 小 粉丝 ！ 哒 爱 ！,11
老铁 生日快乐 ， 祝 早日 帅过 吴彦祖 ， 富过 王思聪 ， 忘 兄弟 。,0
老铁 生日快乐 ， 祝 早日 帅过 吴彦祖 ， 富过 王思聪 ， 忘 兄弟 。,0
兄弟 ， 生日快乐 ， 社会 大哥 ， 人狠话 不 ， 十年 后 还要 嗨 ！,0
祝小耗 崽子 生日快乐,0
【 333 包厢 】 ： 祝 杨 总 鸡巴 越来越 大 ， 越来越 粗 ， 越来越 长,5
喝 ！ 青岛 不倒 不 倒 ， 雪花 不飘 不 飘 ， 问 酒量 ， 请 看 大海 方向 。,11
喝 ！ 最 简单 表达方式 喝 ， 喝多 还 喝 ， 不醉 不 ！,11
请 ， 真的 爱 ， 请 接受 送给 开心 快乐 。,3
祝愿 大闺女 平安 无疾 前程似锦 世界 温柔 以待 ， 生日快乐,0
祝 郑总喜 千金 ， 祝可儿 快乐 成长,10
祝 兄弟 生日快乐 ， 愿 兄弟 早日 住 豪宅 ， 开 跑车 ， 迎娶 白富 美 ！,0
方哥 生日快乐,0
钱 多多 ， 生日快乐 ， 永远 18 岁,0
一哥 嫂子 ， 新婚 快乐 ， 幸福美满 ， 和和美美,9
小学 童年 时光 一去不复返 ， 日子 同学 友谊 天长地久,1
请 ， 真的 爱 ， 请 接受 送给 开心 快乐 。,3
大姐 威武 霸气 ， 太 好听,11
giaogiaogiao,11
【 666 包厢 】 ： 祝 白云山 精油 大卖 ， 祝 团队 蒸蒸日上,2
白 胖子 ， 喝不醉,11
小蕾蕾 ， 勇 哥哥 永远 爱 ！,3
【 502 包厢 】 ： 唱 太 好听 ， 棒棒 哒 ！ call call ！,11
祝 彭 老师 生日快乐 ！,0
刚刚 生日快乐,0
【 V01 包厢 】 ： 祝欢姐 生日快乐,0
祝小耗 崽子 生日快乐,0
祝小葛 生龙活虎 越活 越 年轻,11
祝好 姐妹 生日快乐 ， 天天 十八 ， 月 月 好运 ， 年 年 发财 。,0
【 包厢 】 ： 表叔 祝你快乐 不止 生日,0
王家 平安 ！ 曾家 评安 ！ 陈家 平安 ！ 祝 暑假 快乐 ！ 全家 平安 ！,6
祝 兄弟 胡小刚 生日快乐,0
爱 ， RXD !,3
老婆 生日快乐,0
111,11
祝 丫丫 姐 生日快乐 ， 永远 年轻,0
喝 ！ 最 简单 表达方式 喝 ， 喝多 还 喝 ， 不醉 不 ！,11
王君鹏 生日快乐,0
祝小 姐妹 生日快乐 ， 永远 年轻漂亮 ， 幸福 满满 。,0
祝 老弟 ， 佳弟 ， 凯弟 ， 永远 幸福 ， 永远快乐 ， 大哥 祝福 ， 希望 永远 快快乐乐,6
喝 ！ 最 简单 表达方式 喝 ， 喝多 还 喝 ， 不醉 不 ！,11
不 秃子 搞醉 不归家,11
老铁 生日快乐 ， 祝 早日 帅过 吴彦祖 ， 富过 王思聪 ， 忘 兄弟 。,0
杨玉梅 小 仙女 生日快乐 ， 永远 20 岁 ， 爱,0
希望 都 开心 ， 记得 在乎 ， 希望 越来越 好 ， 爱 哒 ！,3
唱 太 好听 ， 棒棒 哒 ！ call call ！,0
鑫 生日快乐,0
小俊 ， 祝 生日快乐 ， 永远 健康,0
祝温平 李 志强 百年好合,9
还 KTV,11
【 包厢 】 ： 表叔 祝你快乐 不止 生日,0
天 ， 唱歌 好好 听 ， 小 粉丝 ！ 哒 爱 ！,11
【 210 包厢 】 ： 祝 瞳哥 生日快乐 ， 性福 高潮,0
狗哥 感情 天 … … 友谊 万岁,4
兄弟 齐心 ， 齐力 断金 ！,4
遇见 福分 ， 爱上你 福气 ， 希望 看 明白 心意 ， 辉哥 ， 我爱你 。,3
老铁 生日快乐 ， 祝 早日 帅过 吴彦祖 ， 富过 王思聪 ， 忘 兄弟 。,0
祝阿陂 生日快乐 ！,0
唱 好 ！ 赏酒 两杯 ！,11
我爱你 ， 刚 哥哥 ， 愿 永远 都 好 ， 平安 ， 健康 ， 开心 ， 快乐 ！,3
祝汪 总 生日快乐 ， 永远 十八 一枝花 ， 开心 。,0
我爱你 这份 感情 当做 赌注 ， 身上 堵 ， 这辈子 都 输 。,3
祝 魏爷 生日快乐,0
出狱 后 改变,11
希望 都 开心 ， 记得 在乎 ， 希望 越来越 好 ， 爱 哒 ！,3
祝 丫丫 生日快乐 ， 天天 十八 ， 月 月 好运 ， 年 年 发财 。,0
祝 小两口 ， 新婚燕尔 ， 喜成 连理 ， 举岸 齐眉 ， 龙腾 凤翔 ， 天赐良缘 ， 百年好合 ， 生 一对 龙凤胎,9
祝好 姐妹 生日快乐 ， 天天 十八 ， 月 月 好运 ， 年 年 发财 。,0
祝 美女 瑶瑶 生日快乐,0
！ 原唱 还 好听 ， 再 一首 ， 再 一首 ！,11
【 111 包厢 】 ： 祝梁 总监 ， 生日快乐 。 英俊潇洒 ， 花见 花开 ， 车见车 爆胎 。,0
祝 兄弟 生日快乐 ， 愿 兄弟 早日 住 豪宅 ， 开 跑车 ， 迎娶 白富 美 ！,0
最 亲爱 龙哥 ， 提前 祝 龙哥 生日快乐 ！,0
【 611 包厢 】 ： 依依 ， 希望 都 开心 ， 记得 在乎 ， 希望 越来越 好 ， 爱 哒 ！,3
老大 生日快乐 ， 三哥 ， 四哥 玩 开心 ， 陈总 ， 步步高升 ！,0
祝 兄弟 生日快乐 ， 愿 兄弟 早日 住 豪宅 ， 开 跑车 ， 迎娶 白富 美 ！,0
【 包厢 】 ： 喝 ！ 最 简单 表达方式 喝 ， 喝多 还 喝 ， 不醉 不 ！,11
难听,11
祝萱 萱 生日快乐 ， 学习 ， 健康 快乐,0
祝妹 纸 生日快乐 ， 天天 十八 ， 月 月 好运 ， 年 年 发财 。,0
祝 刘超 不再 过节 ， 老大不小 ， 赶紧 创造 小超超,7
希望 友谊 天长地久 ， 一个 比早 死,4
喝 ！ 青岛 不倒 不 倒 ， 雪花 不飘 不 飘 ， 问 酒量 ， 请 看 大海 方向 。,11
祝 梅子 生日快乐 ， 永远 十八 一枝花 ， 开心 。,0
芯宝 唯一,3
斌 哥 ， 浩哥 ， 凯哥 ， 雨哥 ， 陈哥 ， 洋弟 ， 兄弟 一辈子,4
海卿 ， 生日快乐,0
【 218 包厢 】 ： 祝梁 小金 覃炳行 早生贵子 ， 天天 快乐,9
祝 妹子 生日快乐 ， 永远 十八 一枝花 ， 开心 。,0
唱 太 好听 ， 棒棒 哒 ！ call call ！,11
祝 ， 派对 星球 朱 董事长 杨 总 生意兴隆,2
