,bless_msg,label
213,美女生日快乐越来越漂亮,0
214,军中绿花,11
215,请你相信我，是真的爱你，请接受我送给你的开心快乐。,3
216,毕业快乐，时光不老我们不散，祝你们未来安好！,1
217,柚子姐，生日快乐，年年18貌美如花,0
218,遇见你是我的福分，爱上你是我的福气，希望你能看明白我的心意，我爱你。,3
219,喝起来！青岛不倒我不倒，雪花不飘我不飘，问我酒量怎么样，请看大海的方向。,11
220,祝老板，身体健康，生意兴隆，财源滚滚而来。,2
221,感觉,11
222,喝起来！最简单的表达方式就是喝，喝多了还能继续喝，不醉不归！,11
223,祝杨叔叔:生日快乐，生意兴隆，今年赚他一个亿！！,0
224,【621包厢】：遇见你是我的福分，爱上你是我的福气，希望你能看明白我的心意，我爱你。,3
225,哇哦！比原唱还好听，再来一首，再来一首！,11
226,天哪，你唱歌好好听，我是你的小粉丝！么么哒爱你！,11
227,生日快乐小朋友,0
228,兄弟，生日快乐，社会我大哥，人狠话不多，十年后还要在一起嗨！,0
229,唱的也太好听了吧，棒棒哒！打call打call！,11
230,【V08包厢】：遇见你是我的福分，爱上你是我的福气，希望你能看明白我的心意，我爱你。,3
231,祝老公生日快乐,0
232,祝福我的宝贝姑娘还有两个宝贝在新的一年学习蒸蒸日上，住所有哥们嫂子生意兴隆,6
233,605，祝我婆娘，小惠生日快乐,0
234,祝超生日快乐温柔且坚韧知足且上进,0
235,老贾。,11
236,祝好姐妹生日快乐，天天十八，月月好运，年年发财。,0
237,杜少生日快乐！喝起来！青岛不倒我不倒，雪花不飘我不飘，问我酒量怎么样，请看大海的方向。,0
238,英姐生日快乐鸭,0
239,祝好姐妹生日快乐，天天十八，月月好运，年年发财。,0
240,小元祝好哥们开心快乐每一天,11
241,请你相信我，是真的爱你，请接受我送给你的开心快乐。,3
242,哥，生日快乐，时光不老我们不散,0
243,小小菇凉，年年18岁啦,0
244,祝许善娟生快乐，青春永驻年年十八,0
245,祝好姐妹生日快乐，天天十八，月月好运，年年发财。,0
246,祝刘总生日快乐……发财脱单开开心心,0
247,方老二我们要爱就一辈子,3
248,宝宝，21生日快乐,0
249,可乐帅哥哥生日快乐,0
250,让我们一起把热烈的掌声送给这位哥！,11
251,祝邱总书记生日快乐，经常请客！,0
252,祝我最爱的宝宝生日快乐，给你的很少，但我足够爱你((c)！,0
253,王敏透了好几瓶了我不会说你开心点我想和你过一辈子,3
254,祝我最爱的宝宝生日快乐，给你的很少，但我足够爱你((c)！,0
255,【V08包厢】祝各位哥哥姐姐们每天开开心心：,11
256,哎呦妈呀，老公你唱的太好了,6
257,祝妹妹生日快乐永远长不大,0
258,哈喽大哥大姐们,8
259,唱的好！赏酒两杯！,11
260,唱的也太好听了吧，棒棒哒！打call打call！,11
261,老铁生日快乐，祝你早日帅过吴彦祖，富过王思聪，不要忘了兄弟。,0
262,【V08包厢】：时光不老，我们不散！感谢在最好的年华遇见你们，多年后还是如今的我们。友谊长存！,4
263,兄弟们让我们嗨起来,4
264,刘老板生日快乐，祝你早日帅过吴彦祖，富过王思聪！,2
265,唱的好好好,11
266,宝扬米业，鸿扬米业，生意兴隆！辉哥，你是最棒的,2
267,闻闻生日快乐爱你,0
268,希望我们以后每天都开心，记得我在乎你，希望你过得越来越好，爱你么么哒！,3
269,【K69VSHOW包厢】：醉骚联盟最牛逼！！！,11
270,鹏鹏，单单牛逼,11
271,【V08包厢】：时光不老，我们不散！感谢在最好的年华遇见你们，多年后还是如今的我们。友谊长存！,4
272,强子哥最帅最牛批,11
273,我叫徐金毅，今晚我包场,11
274,贾凤仙。曾燕。唱的好,11
275,唱的真好听,11
276,时光不老，我们不散！感谢在最好的年华遇见你们，多年后还是如今的我们。友谊长存！,4
277,你给我盖他,11
278,百年成诺携手奥雷公司祝大家广州之行嗨到底,2
279,祝老公生日快乐，我爱你呀,0
280,今晚是你的生日，点燃生日的烛光，点燃幸福的希望，我代表公司全体人员祝老李生日快乐,0
281,兄弟们性生活愉快！均哥、波哥骚得很哦！,4
282,刘老板生日快乐，祝你早日帅过吴彦祖，富过王思聪！,0
283,【V09包厢】：朋友们，喝起来！最简单的表达方式就是喝，喝多了还能继续喝，不醉不归！,11
284,恭喜叶姐儿子读上一中,10
285,胡总胡总我爱你，就像老鼠爱大米~~,3
286,祝许善娟生日快乐，青春永驻年年十八,0
287,祝福远道而来的第二故乡的两位大哥来看小弟！兄弟倍感亲切！祝两位大哥身体健康！阖家欢乐！,8
288,严如玉大笨蛋,11
289,NB！！！牛逼！！！灵魂歌手！准备出道！！！,11
290,亲儿子,11
291,祝兄弟生日快乐，愿兄弟早日住豪宅，开跑车，迎娶白富美！,0
292,曼丽嫂子生日快乐，祝你永远十八岁。,0
293,祝张姐生日快乐，年年有今日，岁岁有今朝,0
294,老板生日快乐,0
295,希望我们以后每天都开心，记得我在乎你，希望你过得越来越好，爱你么么哒！,3
296,祝太湖杨总郭总万总刘总渡过一个愉快的夜晚！,2
297,鑫哥哥生日快乐,0
298,，生日快乐！,0
299,祝唐有才生日快乐,0
300,喝起来！青岛不倒我不倒，雪花不飘我不飘，问我酒量怎么样，请看大海的方向。,11
301,喝起来！最简单的表达方式就是喝，喝多了还能继续喝，不醉不归！,11
302,阿鹏小鸡鸡,11
303,喝起来！青岛不倒我不倒，雪花不飘我不飘，问我酒量怎么样，请看大海的方向。,11
304,喝起来！最简单的表达方式就是喝，喝多了还能继续喝，不醉不归！,11
305,唱的也太好听了吧，棒棒哒！打call打call！,11
306,傻所，狗熊,11
307,9块9包邮送到家,11
308,愿你开开心心没烦恼,11
309,请你相信我，是真的爱你，请接受我送给你的开心快乐。,3
310,希望我们以后每天都开心，记得我在乎你，希望你过得越来越好，爱你么么哒！,3
311,祝文红下面越来越大,11
312,祝魏总魏大哥还有项城的朋友，健康快乐哈哈哈哈常来益木堂聚一聚,2
313,祝魏总魏大哥还有项城的朋友，健康快乐哈哈哈哈常来益木堂聚一聚,2
314,祝邮政张总幸福,2
315,大海弟弟一定要幸福哟,9
316,天哪，你唱歌好好听，我是你的小粉丝！么么哒爱你！,11
317,祝赵总心情愉快！！,5
318,天哪，你唱歌好好听，我是你的小粉丝！么么哒爱你！,11
319,老铁生日快乐，祝你早日帅过吴彦祖，富过王思聪，不要忘了兄弟。,0
320,老铁生日快乐，祝你早日帅过吴彦祖，富过王思聪，不要忘了兄弟。,0
321,兄弟，生日快乐，社会我大哥，人狠话不多，十年后还要在一起嗨！,0
322,祝小耗崽子生日快乐,0
323,【333包厢】：祝杨总鸡巴越来越大，越来越粗，越来越长,5
324,喝起来！青岛不倒我不倒，雪花不飘我不飘，问我酒量怎么样，请看大海的方向。,11
325,喝起来！最简单的表达方式就是喝，喝多了还能继续喝，不醉不归！,11
326,请你相信我，是真的爱你，请接受我送给你的开心快乐。,3
327,祝愿大闺女你平安无疾前程似锦被这个世界温柔以待，生日快乐,0
328,祝郑总喜得千金，祝可儿快乐成长,10
329,祝兄弟生日快乐，愿兄弟早日住豪宅，开跑车，迎娶白富美！,0
330,方哥生日快乐,0
331,钱多多，生日快乐，永远18岁,0
332,一哥和嫂子，新婚快乐，幸福美满，和和美美,9
333,小学童年的时光一去不复返，以后得日子同学友谊天长地久,1
334,请你相信我，是真的爱你，请接受我送给你的开心快乐。,3
335,大姐威武霸气，太好听了,11
336,giaogiaogiao,11
337,【666包厢】：祝白云山精油大卖，祝我们的团队蒸蒸日上,2
338,白胖子，喝不醉,11
339,小蕾蕾，勇哥哥永远爱你！,3
340,【502包厢】：唱的也太好听了吧，棒棒哒！打call打call！,11
341,祝彭老师生日快乐！,0
342,刚刚生日快乐,0
343,【V01包厢】：祝欢姐生日快乐,0
344,祝小耗崽子生日快乐,0
345,祝小葛生龙活虎越活越年轻,11
346,祝好姐妹生日快乐，天天十八，月月好运，年年发财。,0
347,【包厢】：表叔祝你快乐不止生日,0
348,王家平安！曾家评安！陈家平安！祝大家暑假快乐！全家平安！,6
349,祝兄弟胡小刚生日快乐,0
350,爱你哟，RXD!,3
351,老婆生日快乐,0
352,111,11
353,祝丫丫姐生日快乐，永远年轻,0
354,喝起来！最简单的表达方式就是喝，喝多了还能继续喝，不醉不归！,11
355,王君鹏生日快乐哈,0
356,祝小姐妹生日快乐，永远年轻漂亮，幸福满满。,0
357,祝我的老弟，佳弟，凯弟，你们永远幸福，永远快乐，大哥祝福你们，希望你们永远快快乐乐,6
358,喝起来！最简单的表达方式就是喝，喝多了还能继续喝，不醉不归！,11
359,今天不把秃子搞醉不归家,11
360,老铁生日快乐，祝你早日帅过吴彦祖，富过王思聪，不要忘了兄弟。,0
361,杨玉梅小仙女生日快乐，永远20岁，爱你哈,0
362,希望我们以后每天都开心，记得我在乎你，希望你过得越来越好，爱你么么哒！,3
363,唱的也太好听了吧，棒棒哒！打call打call！,0
364,啊鑫生日快乐,0
365,小俊，祝你生日快乐，永远健康,0
366,祝温平李志强百年好合,9
367,还在KTV吗各位,11
368,【包厢】：表叔祝你快乐不止生日,0
369,天哪，你唱歌好好听，我是你的小粉丝！么么哒爱你！,11
370,【210包厢】：祝瞳哥生日快乐，性福高潮,0
371,狗哥的感情就是天……友谊万岁,4
372,兄弟齐心，齐力断金！,4
373,遇见你是我的福分，爱上你是我的福气，希望你能看明白我的心意，辉哥，我爱你。,3
374,老铁生日快乐，祝你早日帅过吴彦祖，富过王思聪，不要忘了兄弟。,0
375,祝阿陂生日快乐！,0
376,唱的好！赏酒两杯！,11
377,我爱你，刚哥哥，愿你我永远都好，平安，健康，开心，快乐！,3
378,祝汪总生日快乐，永远十八一枝花，开心每一天。,0
379,如果我爱你把这份感情当做赌注，那么你在我身上堵，我这辈子都不会让你输。,3
380,祝魏爷生日快乐,0
381,出狱后的改变,11
382,希望我们以后每天都开心，记得我在乎你，希望你过得越来越好，爱你么么哒！,3
383,祝丫丫生日快乐，天天十八，月月好运，年年发财。,0
384,祝小两口，新婚燕尔，喜成连理，举岸齐眉，龙腾凤翔，天赐良缘，百年好合，生一对龙凤胎哈,9
385,祝好姐妹生日快乐，天天十八，月月好运，年年发财。,0
386,祝美女瑶瑶生日快乐,0
387,哇哦！比原唱还好听，再来一首，再来一首！,11
388,【111包厢】：祝梁总监，生日快乐。英俊潇洒，花见花开，车见车爆胎。,0
389,祝兄弟生日快乐，愿兄弟早日住豪宅，开跑车，迎娶白富美！,0
390,我最亲爱的龙哥，提前祝龙哥生日快乐！,0
391,【611包厢】：依依，希望我们以后每天都开心，记得我在乎你，希望你过得越来越好，爱你么么哒！,3
392,老大生日快乐，三哥，四哥玩开心，陈总，步步高升！,0
393,祝兄弟生日快乐，愿兄弟早日住豪宅，开跑车，迎娶白富美！,0
394,【包厢】：喝起来！最简单的表达方式就是喝，喝多了还能继续喝，不醉不归！,11
395,难听,11
396,祝萱萱生日快乐，学习进步，健康快乐,0
397,祝妹纸生日快乐，天天十八，月月好运，年年发财。,0
398,祝刘超今年不再过节，老大不小了，赶紧创造小超超,7
399,希望我们的友谊天长地久，一个比早死,4
400,喝起来！青岛不倒我不倒，雪花不飘我不飘，问我酒量怎么样，请看大海的方向。,11
401,祝梅子生日快乐，永远十八一枝花，开心每一天。,0
402,芯宝是唯一,3
403,斌哥，浩哥，凯哥，雨哥，陈哥，洋弟，兄弟一辈子,4
404,海卿，生日快乐,0
405,【218包厢】：祝梁小金覃炳行早生贵子，天天快乐,9
406,祝妹子生日快乐，永远十八一枝花，开心每一天。,0
407,唱的也太好听了吧，棒棒哒！打call打call！,11
408,祝，派对星球与朱董事长和杨总生意兴隆,2
409,祝老姐，李薇，李宇永远十八岁，天天开兴快乐，越来越美丽，漂亮！！！！,0
410,【316包厢】：祝贺牛哥终于毕业了,1
411,孙玲玉我爱你我爱你我爱你我爱你我爱你我爱你，强子大哥张五刀,3
412,唱的漂亮,11
413,祝小姐妹生日快乐，永远年轻漂亮，幸福满满。,0
414,宋建熊，生日快乐,0
415,婉婷生日快乐希望你快乐真的快乐,0
416,祝在做的各位，天天做新郎。夜夜换新娘,11
417,加油！呢子,11
418,天哪，你唱歌好好听，我是你的小粉丝！么么哒爱你！,11
419,遇见你是我的福分，爱上你是我的福气，希望你能看明白我的心意，我爱你。,3
420,祝蔡敬和生日快乐！,0
421,婆娘，生日快乐永远十八岁,0
422,聂琴我永远的爱你的,3
423,虎哥，虎嫂，永结同心,9
424,真他么睡啊……,11
425,一路安好,11
426,祝各位长命百岁，福如东海长流水，寿比南山不老松！,8
427,牛逼牛逼,11
428,祝我们雨舟蛋品有限公司艳姐生意兴隆，财源广进，大卖,2
429,王君鹏生日快乐哈,0
430,刘女士生日快乐年年有今日岁岁有今朝,0
431,老婆生日快乐快乐生日快乐生日快乐,0
432,老吴今晚打炮,11
433,婆娘，生日快乐永远十八岁,0
434,王总是我的哥哥永远的哥哥,5
435,喝起来！最简单的表达方式就是喝，喝多了还能继续喝，不醉不归！,11
436,【包厢】：表叔祝你快乐不止生日,0
437,平，遇见你是我的福分，爱上你是我的福气，希望你能看明白我的心意，我爱你。,3
438,阿鹏小鸡鸡,11
439,喝起来！最简单的表达方式就是喝，喝多了还能继续喝，不醉不归！,11
440,生日快乐,0
441,嘿嘿嘿嘿,11
442,遇见你是我的福分，爱上你是我的福气，希望你能看明白我的心意，我爱你。,3
443,仙女周，生日快乐！,0
444,茹姐，爱你,3
445,何先生，生日快乐,0
446,卧槽，无情，好残忍……,11
447,？！,11
448,兄弟生日快乐,0
449,啊偷兄弟，满月快乐！,10
450,喝起来！嗨喽，大咖好，我系渣渣灰，系兄弟就来喝死我，我在则里等你。,11
451,么么哒,11
452,老婆生日快乐！老公祝你天天开心！永远漂亮！,0
453,刘女士生日快乐年年有今日岁岁有今朝,0
454,刘女士生日快乐年年有今日岁岁有今朝,0
455,廖玺铭30生日快乐！,0
456,祝冷哥生日快乐，愿冷哥早日住豪宅，开跑车，迎娶白富美！,0
457,祝我们兄弟友谊天长地久,4
458,祝陈总2020年生意红红火火！,2
459,祝陈总2020年生意红红火火！,2
460,兄弟百年！！！,4
461,老铁生日快乐,0
462,燕无歇,11
463,【9188包厢】：不瞒各位说，在座的都是渣渣，哥带不动你们了,11
464,【A805包厢】：珍惜,11
465,祝妈妈生日快乐，永远年轻生活幸福美满，永远爱您,0
466,干就完了,11
467,祝大华杨总：生日快乐！身体健康！生意兴隆！合心合意。,0
468,生日快乐，社会我大哥，人狠话不多，十年后还要在一起嗨！,0
469,龙哥生日快乐！,0
470,老铁生日快乐，祝你早日帅过吴彦祖，富过王思聪，不要忘了兄弟。,0
471,祝马帮兄弟们玩的开心！！,4
472,祝好姐妹生日快乐，天天十八，月月好运，年年发财。,0
473,喝起来！嗨喽，大咖好，我系渣渣灰，系兄弟就来喝死我，我在则里等你。,11
474,小王生日快乐,0
475,祝:况总生日快乐，平安喜乐，得偿所愿，深情不负！,0
476,希望我们以后每天都开心，记得我在乎你，希望你过得越来越好，爱你么么哒！（诺）,3
477,胖子牛逼如果你上了好声音冠军可想而知,11
478,【包厢】祝靓坤生曰快乐，早日脱单！年年有今日，岁岁有今朝,0
479,祝：玄老八生日快乐天天快乐,0
480,生日来了江江,0
481,妙,11
482,祝程店一路长红，年头红到年尾，你是昆山八幡扛把子嘛,5
483,你们都送祝福了，俺们也来吧，兄弟们喝好开心,4
484,哇哦！比原唱还好听，再来一首，再来一首！,11
485,你的侧脸杀俘虏了我的心,3
486,【包厢】：祝福：张香香，刘远美，许华梅，三姐妹一辈子幸福开心！,4
487,【108包厢】：祝晓宇和曹睿有情人终成眷属,9
